sym,date,close,score,qual
SBUX,14/02/2025,112.55,6,True
SBUX,21/02/2025,111.75,6,True
SBUX,28/02/2025,115.81,6,True
SBUX,07/03/2025,106.48,6,True
SBUX,14/03/2025,98.11,6,True
SBUX,21/03/2025,97.07,6,True
SBUX,28/03/2025,97.73,6,True
SBUX,04/04/2025,82.1,0,False
SBUX,11/04/2025,85.43,0,False
SBUX,18/04/2025,81.5,0,False
SBUX,25/04/2025,83.81,0,False
SBUX,02/05/2025,84.69,0,False
SBUX,09/05/2025,80.3,0,False
SBUX,16/05/2025,85.57,0,False
SBUX,23/05/2025,84.4,0,False
SBUX,30/05/2025,83.95,0,False
SBUX,06/06/2025,89.64,0,False
SBUX,13/06/2025,93.26,0,False
SBUX,20/06/2025,93.12,0,False
SBUX,27/06/2025,92.11,0,False
SBUX,04/07/2025,94.44,6,True
SBUX,11/07/2025,94.94,6,True
SBUX,18/07/2025,93.8,6,True
SBUX,25/07/2025,94.42,6,True
SBUX,01/08/2025,86.86,0,False
SBUX,08/08/2025,92.12,0,False
SBUX,15/08/2025,90.6,0,False
SBUX,22/08/2025,88.38,0,False
SBUX,29/08/2025,88.19,0,False
SBUX,05/09/2025,85.43,0,False
SBUX,12/09/2025,81.9,0,False
SBUX,19/09/2025,84.56,0,False
SBUX,26/09/2025,83.39,0,False
SBUX,03/10/2025,86.42,0,False
SBUX,10/10/2025,78.46,0,False
SBUX,17/10/2025,85.36,0,False
SBUX,24/10/2025,86.09,0,False
SBUX,31/10/2025,80.87,0,False
SBUX,07/11/2025,85.57,0,False
SBUX,14/11/2025,84.78,0,False
SBUX,21/11/2025,85.35,0,False
SBUX,28/11/2025,87.11,0,False
SBUX,05/12/2025,85.12,0,False
SBUX,12/12/2025,85.35,0,False
SBUX,19/12/2025,88.33,0,False
SBUX,26/12/2025,85.08,0,False
SBUX,02/01/2026,83.97,0,False
SBUX,09/01/2026,88.88,0,False
SBUX,16/01/2026,92.99,6,True
SBUX,23/01/2026,97.62,6,True
SBUX,30/01/2026,91.95,6,True
SBUX,06/02/2026,99.45,6,True
SBUX,13/02/2026,93.79,6,True
SBUX,20/02/2026,97.49,6,True
SBUX,27/02/2026,98.02,6,True
SBUX,06/03/2026,98.99,6,True
SBUX,13/03/2026,99.15,6,True
SBUX,20/03/2026,92.55,6,True
SBUX,27/03/2026,86.81,0,False
SBUX,03/04/2026,90.37,0,False
SBUX,10/04/2026,96.6,6,True
SBUX,17/04/2026,100.0,6,True
SBUX,24/04/2026,98.67,6,True
SBUX,01/05/2026,105.9,6,True
SBUX,08/05/2026,104.93,6,True
SBUX,15/05/2026,106.82,6,True
SBUX,22/05/2026,103.11,6,True
SBUX,29/05/2026,99.16,6,True
SBUX,05/06/2026,95.29,6,True
SBUX,12/06/2026,103.04,6,True
SBUX,19/06/2026,100.65,6,True
SBUX,26/06/2026,104.6,6,True
SBUX,03/07/2026,104.27,6,True
SBUX,10/07/2026,106.01,6,True
SBUX,17/07/2026,106.17,6,True
SCHW,26/07/2024,66.6,0,False
SCHW,02/08/2024,63.39,0,False
SCHW,09/08/2024,62.41,0,False
SCHW,16/08/2024,65.55,0,False
SCHW,23/08/2024,64.39,0,False
SCHW,30/08/2024,65.1,0,False
SCHW,06/09/2024,62.9,0,False
SCHW,13/09/2024,62.12,0,False
SCHW,20/09/2024,65.39,0,False
SCHW,27/09/2024,64.42,0,False
SCHW,04/10/2024,64.75,0,False
SCHW,11/10/2024,67.68,6,True
SCHW,18/10/2024,71.36,6,True
SCHW,25/10/2024,71.82,6,True
SCHW,01/11/2024,70.94,6,True
SCHW,08/11/2024,73.9,6,True
SCHW,15/11/2024,80.64,6,True
SCHW,22/11/2024,81.26,6,True
SCHW,29/11/2024,82.76,6,True
SCHW,06/12/2024,81.47,6,True
SCHW,13/12/2024,79.54,6,True
SCHW,20/12/2024,74.31,6,True
SCHW,27/12/2024,74.74,6,True
SCHW,03/01/2025,74.45,6,True
SCHW,10/01/2025,72.77,6,True
SCHW,17/01/2025,76.41,6,True
SCHW,24/01/2025,81.83,6,True
SCHW,31/01/2025,82.72,6,True
SCHW,07/02/2025,83.18,6,True
SCHW,14/02/2025,80.34,6,True
SCHW,21/02/2025,80.44,6,True
SCHW,28/02/2025,79.53,6,True
SCHW,07/03/2025,74.63,6,True
SCHW,14/03/2025,77.11,6,True
SCHW,21/03/2025,78.39,6,True
SCHW,28/03/2025,77.81,6,True
SCHW,04/04/2025,69.06,0,False
SCHW,11/04/2025,76.96,6,True
SCHW,18/04/2025,76.15,6,True
SCHW,25/04/2025,79.94,6,True
SCHW,02/05/2025,83.11,6,True
SCHW,09/05/2025,84.47,6,True
SCHW,16/05/2025,88.69,6,True
SCHW,23/05/2025,87.4,6,True
SCHW,30/05/2025,88.34,6,True
SCHW,06/06/2025,88.25,6,True
SCHW,13/06/2025,87.36,6,True
SCHW,20/06/2025,89.21,6,True
SCHW,27/06/2025,89.98,6,True
SCHW,04/07/2025,91.48,6,True
SCHW,11/07/2025,91.97,6,True
SCHW,18/07/2025,95.8,6,True
SCHW,25/07/2025,97.06,6,True
